videoPlayCount,url,hashtags,videoViewCount,videoDuration,commentsCount,mentions,caption,timestamp
,https://www.instagram.com/p/DFumdtXgHJU/,,,,5,,Be nothing but yourSELF in chic athleisure...perfect for mastering that on-the-go look  ☕,2025-02-06T10:32:50.000Z
144006.0,https://www.instagram.com/p/DGAc5WHglDh/,,39747.0,13.733,3,,Pssst there’s still time! Here are a few of our favourite last minute Vday gifts...,2025-02-13T08:58:06.000Z
157470.0,https://www.instagram.com/p/DF7cf3ugYhg/,,40349.0,7.166,2,,Bringing our own sunshine on these gloomy days ✨,2025-02-11T10:17:20.000Z
,https://www.instagram.com/p/DGIIZXpt8gE/,nextwomens,,,10,,Spotted: statement stripes  #nextwomens,2025-02-16T09:00:29.000Z
,https://www.instagram.com/p/DGNR8_bRlQE/,,,,7,,"Boho is back and this time, think soft florals and free-spirited shapes perfect with cowboy boots and tousled curls",2025-02-18T09:00:04.000Z
183206.0,https://www.instagram.com/p/DGFr_G_Ahn4/,nextkids,57478.0,14.133,30,esterapawlak,"We’re obsessed with this adorable mum-and-daughter trio, bringing all the spring wardrobe vibes...@esterapawlak #nextkids",2025-02-15T09:44:01.000Z
,https://www.instagram.com/p/DF4k0cWMVQo/,nextwomens,,,1,,Dress it up or dress it down...a relaxed denim shirt is always in style  #nextwomens,2025-02-10T08:00:54.000Z
122030.0,https://www.instagram.com/p/DFr7OTGgBiV/,nextwomens,31507.0,7.366,19,missy_elz,When the shoes are the main event...@missy_elz  #nextwomens,2025-02-05T09:43:31.000Z
,https://www.instagram.com/p/DF9uYflMeZg/,,,,9,,Who knew cherries and checkers would make the cutest combination,2025-02-12T08:00:55.000Z
110566.0,https://www.instagram.com/p/DFxCQzEAbG9/,nextwomens,33664.0,14.5,5,junabanda_,The perfect “let’s go grab coffee” fits ☕ @junabanda_  #nextwomens,2025-02-07T09:19:01.000Z
,https://www.instagram.com/p/DFziGubMFaY/,nextwomens,,,4,,"Give it up for gingham 
a statement print with purpose...#nextwomens",2025-02-08T09:00:47.000Z
